name,type,value,date
Argentina,,1629,1948/1/1
Argentina,,1044,1949/1/1
Argentina,,1178,1950/1/1
Argentina,,1169,1951/1/1
Argentina,,688,1952/1/1
Argentina,,1125,1953/1/1
Argentina,,1027,1954/1/1
Argentina,,929,1955/1/1
Argentina,,944,1956/1/1
Argentina,,975,1957/1/1
Argentina,,994,1958/1/1
Argentina,,1009,1959/1/1
Argentina,,1079,1960/1/1
Argentina,,964,1961/1/1
Argentina,,1216,1962/1/1
Argentina,,1365,1963/1/1
Argentina,,1410,1964/1/1
Argentina,,1493,1965/1/1
Argentina,,1593,1966/1/1
Argentina,,1465,1967/1/1
Argentina,,1368,1968/1/1
Argentina,,1612,1969/1/1
Argentina,,1773,1970/1/1
Argentina,,1740,1971/1/1
Argentina,,1941,1972/1/1
Argentina,,3266,1973/1/1
Argentina,,3931,1974/1/1
Argentina,,2961,1975/1/1
Argentina,,3916,1976/1/1
Argentina,,5652,1977/1/1
Argentina,,6400,1978/1/1
Argentina,,7810,1979/1/1
Argentina,,8021,1980/1/1
Argentina,,9143,1981/1/1
Argentina,,7625,1982/1/1
Argentina,,7836,1983/1/1
Argentina,,8107,1984/1/1
Argentina,,8396,1985/1/1
Argentina,,6852,1986/1/1
Argentina,,6360,1987/1/1
Argentina,,9135,1988/1/1
Argentina,,9579,1989/1/1
Argentina,,12353,1990/1/1
Argentina,,11978,1991/1/1
Argentina,,12235,1992/1/1
Argentina,,13118,1993/1/1
Argentina,,15659,1994/1/1
Argentina,,20967,1995/1/1
Argentina,,23811,1996/1/1
Argentina,,26370,1997/1/1
Argentina,,26441,1998/1/1
Argentina,,23333,1999/1/1
Argentina,,26341,2000/1/1
Argentina,,26543,2001/1/1
Argentina,,25650,2002/1/1
Argentina,,29566,2003/1/1
Argentina,,34576,2004/1/1
Argentina,,40351,2005/1/1
Argentina,,46546,2006/1/1
Argentina,,55779,2007/1/1
Argentina,,70018,2008/1/1
Argentina,,55672,2009/1/1
Argentina,,68187,2010/1/1
Argentina,,84051,2011/1/1
Argentina,,79982,2012/1/1
Argentina,,75963,2013/1/1
Argentina,,68405,2014/1/1
Argentina,,56784,2015/1/1
Argentina,,57910,2016/1/1
Argentina,,58644,2017/1/1
Argentina,,61781,2018/1/1
Argentina,,65116,2019/1/1
Argentina,,54884,2020/1/1
Austria,,198,1948/1/1
Austria,,286,1949/1/1
Austria,,326,1950/1/1
Austria,,451,1951/1/1
Austria,,506,1952/1/1
Austria,,540,1953/1/1
Austria,,610,1954/1/1
Austria,,699,1955/1/1
Austria,,849,1956/1/1
Austria,,979,1957/1/1
Austria,,918,1958/1/1
Austria,,968,1959/1/1
Austria,,1120,1960/1/1
Austria,,1202,1961/1/1
Austria,,1264,1962/1/1
Austria,,1326,1963/1/1
Austria,,1446,1964/1/1
Austria,,1600,1965/1/1
Austria,,1684,1966/1/1
Austria,,1809,1967/1/1
Austria,,1989,1968/1/1
Austria,,2412,1969/1/1
Austria,,2857,1970/1/1
Austria,,3168,1971/1/1
Austria,,3883,1972/1/1
Austria,,5283,1973/1/1
Austria,,7161,1974/1/1
Austria,,7519,1975/1/1
Austria,,8506,1976/1/1
Austria,,9808,1977/1/1
Austria,,12175,1978/1/1
Austria,,15481,1979/1/1
Austria,,17489,1980/1/1
Austria,,15841,1981/1/1
Austria,,15642,1982/1/1
Austria,,15427,1983/1/1
Austria,,15739,1984/1/1
Austria,,17239,1985/1/1
Austria,,22508,1986/1/1
Austria,,27168,1987/1/1
Austria,,31027,1988/1/1
Austria,,31906,1989/1/1
Austria,,41265,1990/1/1
Austria,,41111,1991/1/1
Austria,,44537,1992/1/1
Austria,,40685,1993/1/1
Austria,,45002,1994/1/1
Austria,,57738,1995/1/1
Austria,,58222,1996/1/1
Austria,,59784,1997/1/1
Austria,,64085,1998/1/1
Austria,,66061,1999/1/1
Austria,,67710,2000/1/1
Austria,,70751,2001/1/1
Austria,,78673,2002/1/1
Austria,,97146,2003/1/1
Austria,,118376,2004/1/1
Austria,,125182,2005/1/1
Austria,,136751,2006/1/1
Austria,,163620,2007/1/1
Austria,,181289,2008/1/1
Austria,,136989,2009/1/1
Austria,,152560,2010/1/1
Austria,,177428,2011/1/1
Austria,,166611,2012/1/1
Austria,,175156,2013/1/1
Austria,,178223,2014/1/1
Austria,,152728,2015/1/1
Austria,,152090,2016/1/1
Austria,,168026,2017/1/1
Austria,,184815,2018/1/1
Austria,,178670,2019/1/1
Austria,,168940,2020/1/1
Brazil,,1183,1948/1/1
Brazil,,1100,1949/1/1
Brazil,,1359,1950/1/1
Brazil,,1771,1951/1/1
Brazil,,1416,1952/1/1
